TransactionId,Date,Category,Product,Region,Quantity,UnitPrice
T00070,2024-02-27,Clothing,T-Shirt,South,3,647.78
T00071,2024-10-01,Books,Comic,South,8,332.76
T00072,2024-06-15,Clothing,T-Shirt,West,2,546.69
T00073,2024-05-30,Home,Toaster,West,5,1899.93
T00074,2024-08-01,Clothing,T-Shirt,West,1,69.95
T00075,2024-12-20,Clothing,Socks,East,7,1973.51
T00076,2024-01-23,Books,Magazine,South,6,1392.09
T00077,2024-10-14,Electronics,Mouse,South,10,925.46
T00078,2024-05-22,Electronics,Keyboard,South,5,1927.58
T00079,2024-04-11,Books,Textbook,East,9,1722.73
T00080,2024-09-18,Books,Textbook,North,4,694.64
T00081,2024-08-07,Sports,Jersey,North,8,910.44
T00082,2024-07-06,Sports,Ball,East,3,1681.68
T00083,2024-05-30,Clothing,Hat,West,8,1883.77
T00084,2024-10-22,Home,Blender,South,8,1180.86
T00085,2024-07-05,Electronics,Keyboard,East,9,520.63
T00086,2024-12-17,Books,Magazine,East,6,249.94
T00087,2024-05-08,Electronics,Keyboard,South,10,1494.19
T00088,2024-05-04,Sports,Bat,South,3,652.0
T00089,2024-09-05,Books,Textbook,East,8,879.71
T00090,2024-02-29,Books,Cookbook,West,1,836.18
T00091,2024-11-21,Electronics,Mouse,North,10,179.28
T00092,2024-03-18,Sports,Racket,East,1,982.98
T00093,2024-05-19,Books,Comic,North,8,258.18
T00094,2024-02-13,Home,Blender,South,1,1391.37
T00095,2024-06-20,Electronics,Keyboard,West,5,1453.01
T00096,2024-11-16,Clothing,Jeans,East,5,1640.75
T00097,2024-11-29,Books,Textbook,South,7,937.79
T00098,2024-10-24,Books,Magazine,West,6,777.58
T00099,2024-05-17,Clothing,T-Shirt,North,10,1006.49
T00100,2024-03-17,Books,Textbook,East,3,1935.66
T00101,2024-07-16,Home,Mixer,West,2,622.29
T00102,2024-11-21,Clothing,T-Shirt,South,7,588.06
T00103,2024-09-16,Electronics,Headphones,North,3,44.39
T00104,2024-12-29,Sports,Bat,North,7,1857.24
T00105,2024-01-31,Sports,Racket,West,5,1748.09
T00106,2024-04-24,Clothing,Hat,South,6,1482.74
T00107,2024-01-11,Books,Magazine,North,5,850.94
T00108,2024-06-18,Clothing,Hat,East,2,673.37
T00109,2024-08-13,Home,Blender,North,5,486.78
T00110,2024-12-27,Books,Cookbook,West,1,1012.43
T00111,2024-02-19,Books,Novel,West,6,838.81
T00112,2024-01-06,Home,Vacuum,West,1,784.63
T00113,2024-04-11,Books,Textbook,North,5,748.04
T00114,2024-03-30,Home,Toaster,West,3,828.41
T00115,2024-10-01,Sports,Bat,East,6,1371.8
T00116,2024-05-14,Clothing,T-Shirt,South,9,309.37
T00117,2024-09-28,Electronics,Laptop,South,8,1021.98
T00118,2024-06-23,Sports,Ball,South,6,720.21
T00119,2024-04-11,Home,Mixer,North,8,1193.55
T00120,2024-10-04,Books,Cookbook,North,9,537.16
T00121,2024-04-23,Clothing,Jeans,West,10,1278.85
T00122,2024-02-27,Books,Cookbook,South,1,440.22
T00123,2024-03-27,Clothing,T-Shirt,North,9,1249.75
T00124,2024-01-02,Clothing,Socks,East,4,498.13
T00125,2024-08-19,Clothing,Jacket,South,3,673.71
T00126,2024-11-04,Home,Blender,North,6,688.05
T00127,2024-05-02,Electronics,Monitor,East,5,519.78
T00128,2024-01-20,Sports,Racket,North,2,1625.93
T00129,2024-06-24,Books,Textbook,South,8,231.86
T00130,2024-05-04,Electronics,Monitor,North,7,1071.72
T00131,2024-03-21,Sports,Jersey,South,10,1814.23
T00132,2024-04-18,Electronics,Mouse,North,7,289.58
T00133,2024-02-08,Books,Novel,East,2,604.82
T00134,2024-03-23,Electronics,Mouse,South,3,1815.43
T00135,2024-07-21,Sports,Ball,North,6,1730.55
T00136,2024-12-22,Sports,Racket,North,6,1522.95
T00137,2024-04-25,Clothing,Jeans,North,4,484.46
T00138,2024-06-29,Clothing,Socks,North,4,1487.99
T00139,2024-05-23,Clothing,Jacket,South,8,1461.24
T00140,2024-05-04,Sports,Jersey,East,8,84.73
T00141,2024-05-23,Clothing,T-Shirt,North,4,803.42
T00142,2024-02-16,Books,Novel,South,6,1209.29
T00143,2024-05-31,Home,Blender,North,10,1724.56
T00144,2024-04-11,Clothing,Jacket,West,4,821.21
T00145,2024-03-28,Home,Toaster,North,6,803.98
T00146,2024-02-25,Clothing,Jeans,East,7,824.56
T00147,2024-06-08,Clothing,Hat,East,4,212.46
T00148,2024-03-21,Books,Cookbook,East,8,1182.25
T00149,2024-05-16,Sports,Bat,South,2,79.65
T00150,2024-06-05,Home,Toaster,South,9,1721.56
T00151,2024-12-08,Home,Vacuum,North,2,96.33
T00152,2024-10-19,Books,Comic,North,5,859.45
T00153,2024-06-26,Sports,Ball,North,10,802.24
T00154,2024-12-06,Home,Vacuum,South,9,1840.66
T00155,2024-11-29,Books,Comic,South,6,441.7
T00156,2024-11-20,Home,Mixer,South,2,885.59
T00157,2024-07-25,Clothing,Jeans,North,8,1209.0
T00158,2024-12-05,Sports,Ball,East,3,116.18
T00159,2024-06-20,Books,Cookbook,North,1,1310.88
T00160,2024-03-25,Home,Mixer,North,9,1788.68
T00161,2024-12-18,Home,Toaster,East,9,1326.12
T00162,2024-07-13,Books,Textbook,West,8,1214.18
T00163,2024-06-27,Books,Novel,South,8,1953.78
T00164,2024-11-10,Books,Textbook,East,7,494.97
T00165,2024-08-18,Home,Blender,West,4,25.81
T00166,2024-06-04,Books,Cookbook,East,8,387.24
T00167,2024-09-19,Sports,Bat,North,8,430.6
T00168,2024-04-25,Clothing,Socks,East,10,1153.94
T00169,2024-11-14,Books,Comic,South,2,672.97
T00170,2024-04-23,Books,Novel,South,7,1538.86
T00171,2024-10-07,Clothing,Jacket,South,8,1613.23
T00172,2024-07-23,Electronics,Monitor,West,2,1108.59
T00173,2024-05-09,Books,Magazine,South,3,1442.66
T00174,2024-12-01,Sports,Jersey,West,5,535.71
T00175,2024-03-03,Clothing,Jeans,West,8,812.6
T00176,2024-03-13,Clothing,Socks,South,8,54.81
T00177,2024-04-23,Home,Mixer,East,4,1286.18
T00178,2024-10-02,Clothing,Jeans,North,8,424.34
T00179,2024-12-12,Sports,Net,North,5,1712.66
T00180,2024-01-13,Sports,Ball,North,4,100.27
T00181,2024-10-17,Sports,Jersey,West,3,390.84
T00182,2024-09-16,Books,Comic,West,7,1743.47
T00183,2024-05-20,Electronics,Monitor,West,8,1090.53
T00184,2024-02-10,Electronics,Mouse,West,5,396.7
T00185,2024-07-21,Clothing,Hat,East,6,1344.19
T00186,2024-06-12,Electronics,Laptop,South,2,899.46
T00187,2024-07-07,Clothing,Jeans,South,9,181.71
T00188,2024-05-22,Clothing,Hat,South,1,575.74
T00189,2024-11-06,Home,Vacuum,East,10,1226.05
T00190,2024-07-26,Clothing,T-Shirt,South,4,1288.45
T00191,2024-09-15,Books,Cookbook,South,10,846.29
T00192,2024-05-29,Clothing,T-Shirt,East,6,781.59
T00193,2024-09-15,Clothing,T-Shirt,North,2,751.78
T00194,2024-08-23,Sports,Ball,West,4,1765.96
T00195,2024-01-18,Sports,Jersey,South,4,836.54
T00196,2024-09-14,Books,Textbook,East,9,1509.51
T00197,2024-07-13,Sports,Ball,South,3,1188.57
T00198,2024-10-30,Home,Toaster,West,8,617.37
T00199,2024-08-07,Books,Textbook,East,2,1972.23
T00200,2024-07-25,Electronics,Keyboard,West,5,770.57
T00201,2024-06-23,Clothing,Jacket,South,5,665.39
T00202,2024-05-29,Electronics,Mouse,West,8,1486.24
T00203,2024-03-09,Electronics,Headphones,North,7,188.34
T00204,2024-08-19,Electronics,Mouse,South,1,1710.1
T00205,2024-04-29,Sports,Ball,East,7,1252.32
T00206,2024-12-10,Home,Blender,North,2,1440.44
T00207,2024-10-14,Sports,Jersey,North,1,903.55
T00208,2024-05-22,Clothing,Socks,North,10,330.47
T00209,2024-05-24,Electronics,Headphones,West,10,1774.72
T00210,2024-12-24,Sports,Racket,South,2,1937.66
T00211,2024-01-01,Books,Novel,West,10,1025.38
T00212,2024-05-14,Clothing,Jeans,East,5,670.14
T00213,2024-02-22,Home,Toaster,South,9,1675.08
T00214,2024-01-05,Sports,Net,North,6,1421.49
T00215,2024-03-07,Sports,Jersey,East,6,1100.95
T00216,2024-07-28,Electronics,Keyboard,South,10,911.48
T00217,2024-03-13,Sports,Net,East,6,301.83
T00218,2024-09-08,Clothing,T-Shirt,East,5,1979.41
T00219,2024-09-12,Electronics,Headphones,South,2,1561.81
T00220,2024-07-15,Books,Novel,East,7,1435.38
T00221,2024-02-15,Electronics,Monitor,East,10,366.39
T00222,2024-11-19,Sports,Net,West,5,756.96
T00223,2024-12-25,Electronics,Monitor,East,1,1674.27
T00224,2024-12-07,Home,Mixer,West,8,1644.76
T00225,2024-05-12,Books,Comic,North,8,1711.32
T00226,2024-02-19,Books,Magazine,West,10,1654.79
T00227,2024-07-31,Electronics,Keyboard,East,8,1942.97
T00228,2024-05-13,Home,Mixer,West,10,1683.06
T00229,2024-07-21,Clothing,T-Shirt,West,5,1222.34
T00230,2024-07-07,Books,Cookbook,North,8,1451.81
T00231,2024-01-30,Clothing,T-Shirt,North,1,1699.92
T00232,2024-09-21,Clothing,Jeans,South,2,866.79
T00233,2024-11-22,Sports,Net,South,7,1352.54
T00234,2024-01-07,Home,Mixer,East,6,1855.02
T00235,2024-08-11,Books,Comic,East,6,383.26
T00236,2024-10-23,Sports,Bat,West,9,469.99
T00237,2024-08-20,Home,Mixer,West,8,1991.93
T00238,2024-12-27,Sports,Net,North,4,21.86
T00239,2024-02-18,Books,Cookbook,West,7,1386.24
T00240,2024-01-24,Home,Mixer,West,8,1663.45
T00241,2024-08-29,Sports,Net,West,9,756.46
T00242,2024-01-03,Clothing,Jeans,North,3,1394.76
T00243,2024-12-17,Electronics,Mouse,North,3,572.03
T00244,2024-10-24,Clothing,Hat,East,10,228.56
T00245,2024-04-01,Sports,Bat,West,10,1539.57
T00246,2024-09-24,Electronics,Laptop,West,7,1882.68
T00247,2024-10-14,Books,Novel,East,3,371.33
T00248,2024-03-05,Clothing,Hat,North,7,997.31
T00249,2024-08-09,Clothing,Jeans,North,2,160.41
T00250,2024-07-11,Books,Textbook,East,9,799.28
T00251,2024-01-14,Sports,Jersey,West,2,400.37
T00252,2024-03-09,Electronics,Mouse,West,6,635.55
T00253,2024-01-05,Electronics,Laptop,South,3,1163.11
T00254,2024-12-25,Clothing,Hat,North,4,664.06
T00255,2024-09-08,Books,Comic,West,8,134.31
T00256,2024-03-25,Clothing,Socks,West,7,278.78
T00257,2024-07-28,Home,Lamp,West,1,698.81
T00258,2024-03-24,Sports,Ball,West,10,249.69
T00259,2024-06-21,Home,Vacuum,South,5,1034.68
T00260,2024-08-24,Sports,Net,North,5,1974.18
T00261,2024-04-05,Sports,Bat,South,5,1568.16
T00262,2024-10-20,Electronics,Monitor,South,4,1272.77
T00263,2024-02-14,Sports,Bat,East,3,218.54
T00264,2024-01-11,Books,Cookbook,East,10,1472.26
T00265,2024-09-01,Clothing,T-Shirt,West,4,1686.52
T00266,2024-01-16,Clothing,Hat,East,3,1995.44
T00267,2024-11-06,Clothing,Hat,South,4,1212.63
T00268,2024-03-03,Home,Blender,South,7,160.04
T00269,2024-08-18,Books,Cookbook,North,2,121.55
T00270,2024-08-18,Home,Blender,West,7,869.73
T00271,2024-08-10,Home,Blender,East,10,868.17
T00272,2024-01-14,Books,Magazine,North,7,580.33
T00273,2024-10-20,Clothing,Jeans,East,4,1693.32
T00274,2024-03-10,Sports,Racket,South,7,1562.33
T00275,2024-03-02,Electronics,Mouse,North,4,652.86
T00276,2024-05-14,Clothing,Socks,West,7,1659.77
T00277,2024-12-10,Clothing,Hat,North,7,1353.66
T00278,2024-04-01,Sports,Bat,North,9,36.69
T00279,2024-03-09,Clothing,Jacket,North,8,239.26
T00280,2024-05-28,Clothing,Jeans,South,9,1921.79
T00281,2024-01-08,Books,Textbook,North,2,90.11
T00282,2024-09-08,Books,Textbook,West,8,344.67
T00283,2024-11-29,Sports,Ball,North,3,1605.34
T00284,2024-04-27,Sports,Bat,East,7,292.48
T00285,2024-07-07,Books,Magazine,East,10,972.83
T00286,2024-08-31,Electronics,Keyboard,North,9,68.11
T00287,2024-04-05,Home,Toaster,North,6,178.94
T00288,2024-03-09,Home,Vacuum,North,2,1206.66
T00289,2024-02-28,Books,Novel,North,3,922.66
T00290,2024-12-22,Books,Cookbook,North,9,1371.26
T00291,2024-06-12,Home,Toaster,East,1,1437.01
T00292,2024-04-22,Home,Mixer,South,1,466.0
T00293,2024-12-23,Sports,Ball,North,8,867.44
T00294,2024-02-28,Sports,Net,East,4,1004.66
T00295,2024-09-01,Sports,Jersey,North,6,585.8
T00296,2024-12-13,Clothing,Socks,West,1,751.79
T00297,2024-11-21,Electronics,Laptop,North,10,1821.64
T00298,2024-11-16,Sports,Ball,North,7,1060.34
T00299,2024-10-08,Sports,Jersey,West,6,1105.39
T00300,2024-09-18,Sports,Racket,East,4,1020.67
T00301,2024-09-25,Books,Magazine,East,2,1577.26
T00302,2024-09-21,Electronics,Laptop,South,9,639.64
T00303,2024-05-19,Electronics,Monitor,South,8,910.29
T00304,2024-08-22,Home,Toaster,North,5,504.86
T00305,2024-02-05,Electronics,Keyboard,West,6,539.12
T00306,2024-11-02,Home,Lamp,East,10,95.29
T00307,2024-07-23,Sports,Net,North,6,1872.18
T00308,2024-02-01,Books,Novel,South,4,1000.6
T00309,2024-02-13,Books,Textbook,West,1,87.32
T00310,2024-12-29,Electronics,Monitor,West,1,807.04
T00311,2024-03-14,Books,Cookbook,West,5,654.43
T00312,2024-01-13,Home,Blender,West,6,1185.78
T00313,2024-08-13,Books,Textbook,West,9,606.32
T00314,2024-07-14,Electronics,Mouse,North,9,543.92
T00315,2024-07-10,Home,Blender,South,8,762.31
T00316,2024-07-08,Sports,Ball,North,4,152.63
T00317,2024-08-10,Clothing,Hat,South,2,884.64
T00318,2024-04-25,Home,Blender,West,9,1898.09
T00319,2024-06-12,Electronics,Mouse,North,4,788.08
T00320,2024-01-22,Home,Blender,North,3,871.82
T00321,2024-11-02,Books,Magazine,East,8,1298.32
T00322,2024-07-14,Electronics,Headphones,North,10,45.1
T00323,2024-12-19,Electronics,Mouse,West,2,670.56
T00324,2024-10-07,Clothing,Jeans,West,7,1189.94
T00325,2024-11-02,Electronics,Headphones,South,2,1504.0
T00326,2024-01-18,Books,Textbook,West,10,1532.74
T00327,2024-04-22,Clothing,Jeans,East,7,132.12
T00328,2024-06-21,Clothing,Socks,North,9,1612.82
T00329,2024-11-21,Clothing,Jeans,North,5,463.92
T00330,2024-05-12,Home,Toaster,North,5,736.85
T00331,2024-12-22,Sports,Ball,East,1,692.19
T00332,2024-01-15,Books,Magazine,West,8,1322.76
T00333,2024-06-11,Home,Blender,East,8,994.58
T00334,2024-07-29,Clothing,Jeans,South,8,1851.57
T00335,2024-11-16,Sports,Jersey,East,10,12.74
T00336,2024-09-22,Clothing,Jeans,East,2,881.12
T00337,2024-02-07,Clothing,Jeans,North,4,1178.44
T00338,2024-10-23,Electronics,Laptop,East,1,378.35
T00339,2024-07-05,Clothing,Jacket,East,4,463.56
T00340,2024-10-11,Clothing,Jeans,East,9,1272.85
T00341,2024-02-28,Clothing,Jacket,North,7,1030.57
T00342,2024-06-23,Clothing,Jacket,South,4,1818.92
T00343,2024-09-24,Clothing,Hat,North,8,1354.49
T00344,2024-10-07,Sports,Bat,North,4,1644.35
T00345,2024-09-24,Clothing,T-Shirt,South,2,10.76
T00346,2024-09-16,Sports,Ball,West,1,1313.93
T00347,2024-06-25,Books,Cookbook,North,3,789.85
T00348,2024-01-31,Clothing,T-Shirt,South,2,972.53
T00349,2024-03-11,Sports,Net,East,4,1074.15
T00350,2024-11-22,Home,Mixer,East,1,621.46
T00351,2024-06-21,Books,Magazine,East,10,1378.0
T00352,2024-01-31,Home,Toaster,West,2,1015.22
T00353,2024-12-17,Electronics,Keyboard,South,5,1503.93
T00354,2024-11-20,Sports,Jersey,East,9,1448.28
T00355,2024-03-23,Clothing,Hat,East,3,1111.98
T00356,2024-03-24,Books,Cookbook,North,4,223.73
T00357,2024-10-11,Home,Mixer,South,9,505.28
T00358,2024-08-09,Books,Magazine,East,4,458.49
T00359,2024-05-25,Home,Mixer,West,1,1939.48
T00360,2024-06-11,Clothing,Hat,South,1,56.96
T00361,2024-11-15,Electronics,Mouse,South,9,1898.06
T00362,2024-09-06,Sports,Racket,East,9,34.88
T00363,2024-12-01,Sports,Racket,North,8,327.09
T00364,2024-04-14,Sports,Jersey,East,3,1213.47
T00365,2024-12-13,Clothing,Jacket,East,10,754.71
T00366,2024-11-05,Home,Vacuum,West,3,1103.78
T00367,2024-05-10,Home,Blender,North,6,919.12
T00368,2024-01-06,Home,Toaster,West,2,150.36
T00369,2024-10-24,Books,Magazine,North,3,653.72
T00370,2024-01-26,Electronics,Headphones,North,8,1105.37
T00371,2024-01-10,Clothing,T-Shirt,East,6,1888.02
T00372,2024-03-18,Sports,Net,East,6,1124.55
T00373,2024-03-14,Books,Cookbook,East,9,1418.55
T00374,2024-05-15,Sports,Net,North,7,282.0
T00375,2024-03-21,Sports,Ball,West,8,1557.7
T00376,2024-08-21,Sports,Ball,East,4,1521.77
T00377,2024-11-21,Clothing,T-Shirt,East,1,70.35
T00378,2024-04-03,Home,Toaster,North,5,989.12
T00379,2024-09-05,Clothing,Jeans,South,9,1287.28
T00380,2024-08-10,Books,Textbook,East,9,826.18
T00381,2024-12-09,Sports,Racket,West,10,1498.79
T00382,2024-05-22,Electronics,Keyboard,South,3,689.26
T00383,2024-04-08,Books,Textbook,West,2,637.38
T00384,2024-12-16,Electronics,Mouse,North,3,396.81
T00385,2024-10-27,Sports,Net,South,4,623.71
T00386,2024-02-16,Sports,Net,North,6,820.0
T00387,2024-05-24,Electronics,Headphones,East,4,1027.18
T00388,2024-04-26,Clothing,T-Shirt,South,7,483.25
T00389,2024-02-12,Books,Magazine,South,10,811.73
T00390,2024-03-23,Electronics,Mouse,East,2,1623.77
T00391,2024-11-29,Sports,Bat,East,2,1608.33
T00392,2024-09-18,Home,Vacuum,East,8,1191.33
T00393,2024-08-02,Electronics,Headphones,North,9,714.33
T00394,2024-08-26,Books,Comic,East,5,595.12
T00395,2024-12-23,Books,Comic,South,5,900.46
T00396,2024-09-12,Books,Comic,North,1,1642.54
T00397,2024-05-11,Sports,Bat,North,6,1952.82
T00398,2024-05-04,Electronics,Mouse,West,3,37.32
T00399,2024-01-24,Sports,Jersey,North,7,1570.07
T00400,2024-01-11,Electronics,Mouse,East,2,1027.47
T00401,2024-06-15,Electronics,Laptop,South,3,1164.15
T00402,2024-08-09,Clothing,Jeans,North,4,1478.82
T00403,2024-02-28,Electronics,Laptop,East,9,1633.89
T00404,2024-06-07,Electronics,Keyboard,West,5,1132.22
T00405,2024-09-11,Books,Cookbook,West,2,1203.57
T00406,2024-07-09,Clothing,Socks,North,2,1856.47
T00407,2024-06-29,Home,Mixer,South,5,1548.97
T00408,2024-05-05,Clothing,T-Shirt,East,10,773.66
T00409,2024-01-30,Home,Lamp,West,2,767.36
T00410,2024-07-01,Electronics,Monitor,West,9,392.24
T00411,2024-10-29,Home,Toaster,West,6,1553.19
T00412,2024-08-27,Sports,Racket,North,4,1364.7
T00413,2024-05-17,Books,Magazine,South,6,495.84
T00414,2024-05-03,Clothing,T-Shirt,North,4,1094.88
T00415,2024-02-19,Electronics,Laptop,South,10,1989.78
T00416,2024-12-01,Sports,Ball,South,9,470.98
T00417,2024-11-26,Electronics,Keyboard,North,4,1468.77
T00418,2024-01-20,Books,Cookbook,East,7,1981.17
T00419,2024-12-12,Books,Textbook,North,7,371.88
T00420,2024-10-09,Sports,Ball,South,5,1093.43
T00421,2024-05-05,Books,Magazine,South,7,973.24
T00422,2024-10-13,Books,Cookbook,West,1,1634.7
T00423,2024-02-15,Books,Cookbook,East,8,528.61
T00424,2024-10-17,Electronics,Keyboard,West,3,1029.28
T00425,2024-03-21,Home,Mixer,East,10,1041.35
T00426,2024-01-31,Electronics,Mouse,North,4,1318.46
T00427,2024-06-15,Books,Comic,South,10,1113.51
T00428,2024-05-06,Electronics,Keyboard,East,4,1605.92
T00429,2024-01-27,Electronics,Laptop,South,4,1848.96
T00430,2024-07-04,Clothing,Socks,South,2,39.85
T00431,2024-11-05,Clothing,Hat,West,5,1447.79
T00432,2024-05-05,Clothing,Socks,South,8,1382.68
T00433,2024-04-22,Home,Vacuum,North,3,1706.39
T00434,2024-10-20,Home,Toaster,East,10,1897.52
T00435,2024-12-03,Electronics,Monitor,North,2,1317.28
T00436,2024-06-24,Sports,Jersey,East,9,90.51
T00437,2024-07-16,Electronics,Keyboard,North,2,1207.16
T00438,2024-10-24,Home,Toaster,South,5,374.09
T00439,2024-12-07,Home,Toaster,South,7,669.79
T00440,2024-10-31,Electronics,Keyboard,West,7,741.99
T00441,2024-06-21,Books,Comic,West,10,1263.55
T00442,2024-04-17,Books,Cookbook,North,8,1037.3
T00443,2024-03-25,Sports,Jersey,East,2,669.65
T00444,2024-11-10,Books,Cookbook,North,10,850.59
T00445,2024-06-26,Books,Novel,West,1,109.68
T00446,2024-06-27,Electronics,Keyboard,South,5,1169.35
T00447,2024-01-21,Electronics,Mouse,East,5,757.28
T00448,2024-11-04,Books,Magazine,North,10,872.6
T00449,2024-07-23,Clothing,Jeans,North,4,1936.16
T00450,2024-02-12,Clothing,Jacket,South,6,1427.88
T00451,2024-10-31,Sports,Ball,West,6,1845.16
T00452,2024-12-28,Electronics,Monitor,South,3,1843.24
T00453,2024-02-14,Home,Lamp,East,8,1101.66
T00454,2024-02-14,Sports,Jersey,North,2,1912.53
T00455,2024-02-28,Home,Mixer,North,8,1118.56
T00456,2024-08-03,Books,Cookbook,North,1,1135.18
T00457,2024-04-26,Electronics,Laptop,West,1,1494.7
T00458,2024-06-10,Electronics,Laptop,East,5,1985.84
T00459,2024-08-16,Sports,Ball,South,9,257.22
T00460,2024-08-24,Clothing,T-Shirt,West,9,1331.46
T00461,2024-11-24,Clothing,Jeans,West,2,1460.37
T00462,2024-01-13,Clothing,Jacket,North,3,1207.99
T00463,2024-05-30,Electronics,Mouse,North,4,365.52
T00464,2024-01-15,Books,Novel,East,4,1214.18
T00465,2024-01-14,Sports,Ball,East,1,680.79
T00466,2024-12-15,Sports,Racket,West,9,1954.1
T00467,2024-06-11,Electronics,Headphones,South,9,472.58
T00468,2024-10-22,Sports,Bat,West,1,675.7
T00469,2024-03-14,Clothing,Jeans,South,8,648.93
T00470,2024-01-20,Clothing,Jeans,West,10,1193.0
T00471,2024-03-31,Sports,Racket,East,7,656.26
T00472,2024-04-05,Electronics,Mouse,South,1,970.14
T00473,2024-03-18,Electronics,Headphones,East,2,1967.76
T00474,2024-03-26,Books,Novel,West,9,494.02
T00475,2024-08-19,Clothing,Jeans,West,1,502.99
T00476,2024-05-15,Electronics,Mouse,South,4,503.39
T00477,2024-10-20,Books,Novel,West,5,1856.56
T00478,2024-05-09,Books,Cookbook,North,2,1108.35
T00479,2024-04-03,Electronics,Monitor,West,1,32.77
T00480,2024-07-02,Electronics,Keyboard,East,10,642.31
T00481,2024-05-07,Sports,Racket,South,6,856.1
T00482,2024-01-23,Sports,Ball,West,9,1758.3
T00483,2024-09-21,Home,Lamp,South,3,968.78
T00484,2024-08-17,Electronics,Laptop,West,8,1284.62
T00485,2024-01-23,Electronics,Monitor,West,4,1770.19
T00486,2024-03-29,Books,Textbook,South,5,467.18
T00487,2024-02-01,Books,Comic,West,5,1882.01
T00488,2024-03-17,Sports,Bat,East,9,639.95
T00489,2024-04-24,Clothing,Socks,West,3,814.6
T00490,2024-04-07,Clothing,Hat,East,8,661.7
